Sorular;Şıklar;Doğru Cevap ve Açıklaması
"Kampüs içi ""Yeşil Ulaşım"" uygulamalarında çevreyi korumak için kullanması en çok teşvik edilen yöntem hangisidir?";"A) Tek kişilik özel otomobiller
B) Bisiklet yolları ve elektrikli araçlar
C) Dizel motorlu eski araçlar";B - Kampüslerde sürdürülebilir ulaşım için bisiklet yolları, elektrikli araçlar için şarj istasyonları ve toplu taşıma kullanımı teşvik edilmektedir[cite: 4, 6].
Tükettiğimiz ürünlerin ve hizmetlerin, üretim aşamasından bize ulaşana kadar doğrudan ve dolaylı olarak kullandığı toplam tatlı su miktarına ne denir?;"A) Su Ayak İzi
B) Karbon Ayak İzi
C) Ekolojik Ayak İzi";A - Hizmetlerin ve ürünlerin tüketim ve üretim süreçlerinde kullanılan toplam su miktarının ölçüsüne 'Su Ayak İzi' denir[cite: 5].
Sürdürülebilirliğin üç temel boyutu aşağıdakilerden hangisidir?;"A) Ekonomik, Çevresel, Sosyal
B) Siyasi, Kültürel, Teknolojik
C) Sanatsal, Bilimsel, Tarihi";A - Sürdürülebilirlik genel olarak çevresel, ekonomik ve sosyal (sosyo-ekonomik, sosyo-çevresel) boyutlarda ele alınmaktadır[cite: 1, 2].
"1987 yılında yayımlanan ve sürdürülebilirlik kavramının ""bugünkü nesillerin ihtiyaçlarını karşılarken gelecek nesillerin ihtiyaçlarını tehlikeye atmadan kalkınma"" olarak ilk kez tanımlandığı raporun adı nedir?";"A) Brundtland Raporu
B) Stockholm Raporu
C) İklim Raporu";A - 1987 yılında hazırlanan 'Ortak Geleceğimiz' adlı Brundtland Raporu'nda sürdürülebilir kalkınma kavramı ilk kez somut olarak tanımlanmıştır[cite: 2, 12].
Atıkların azaltılması (Reduce), yeniden kullanılması (Reuse) ve geri dönüştürülmesini (Recycle) ifade eden uluslararası kuralın kısa adı nedir?;"A) 3R Kuralı
B) 3C Kuralı
C) 3G Kuralı";A - 3R, üniversitelerde ve genel atık yönetiminde atıkların azaltılması, yeniden kullanılması ve geri dönüştürülmesini temsil eden temel programdır[cite: 7, 10].
Dünya genelinde üniversitelerin sürdürülebilirlik ve çevre dostu yeşil kampüs performanslarını ölçen popüler sıralama sistemi hangisidir?;"A) UI GreenMetric
B) ISO 9001
C) LEED Sertifikası";A - Endonezya Üniversitesi tarafından 2010 yılında hayata geçirilen UI GreenMetric, üniversiteleri sürdürülebilirlik açısından sıralayan bir modeldir[cite: 7, 12].
"Birleşmiş Milletler tarafından 2015 yılında kabul edilen ve ""Yoksulluğa Son"", ""Nitelikli Eğitim"", ""İklim Eylemi"" gibi başlıkları içeren ""Sürdürülebilir Kalkınma Amaçları"" toplam kaç hedeften oluşur?";"A) 10 Adet
B) 17 Adet
C) 25 Adet";B - Birleşmiş Milletler'in 2030 gündemi, dünyayı dönüştürmek için 17 ana sürdürülebilir kalkınma amacından (SKA) oluşmaktadır[cite: 5, 13].
"Binaların sürdürülebilirlik performansını ölçmek ve derecelendirmek için kullanılan, ""Enerji ve Çevre Tasarımında Liderlik"" anlamına gelen popüler yeşil bina sertifika sistemi hangisidir?";"A) LEED
B) ÇED
C) TSE";A - LEED (Enerji ve Çevre Tasarımında Liderlik), binaların çevresel, ekonomik ve sosyal sürdürülebilirliğini ölçen ve dünyada çok bilinen bir sertifika sistemidir[cite: 7].
Lavabolardan ve duşlardan gelen, tuvalet atığı içermeyen ve arıtılarak kampüste peyzaj sulama gibi alanlarda tekrar kullanılabilen az kirli sulara ne ad verilir?;"A) Siyah Su
B) Gri Su
C) Mavi Su";B - Fakülteler ve yemekhaneler başta olmak üzere lavabolardan ortaya çıkan su 'Gri Su' olarak tanımlanır ve arıtılarak tekrar kullanılabilir[cite: 7].
Geri dönüştürülebilir atıkların yanlış atık kutusuna atılmasıyla ortaya çıkan ve geri dönüşüm sürecini doğrudan zorlaştıran duruma ne ad verilir?;"A) Atık Kirlenmesi
B) Geri Dönüşüm Kontaminasyonu
C) Çapraz Etki";B - Geri dönüştürülebilir atıkların %25'inden fazlasının yanlış atık kutusuna atılması durumuna geri dönüşüm kontaminasyonu denmektedir[cite: 7, 14].
Öğrenciler arasında kullanılmış kitap, kıyafet gibi eşyaların takas edilmesi veya satılması ekonominin hangi modeline güzel bir örnektir?;"A) Tüketiciden Tüketiciye (C2C)
B) İşletmeden Tüketiciye (B2C)
C) İşletmeden İşletmeye (B2B)";A - Sürdürülebilirlik uygulamalarında tüketiciden tüketiciye (C2C) eşya mülkiyeti transferi, ürünlerin ömrünü uzatarak döngüsel ekonomiye büyük katkı sağlar[cite: 7, 14, 16].
Binalarda kışın ısı kayıplarını, yazın ise ısı kazançlarını en aza indirmek ve enerji tasarrufu sağlamak için duvarlara yapılan işleme ne denir?;"A) Isı Yalıtımı (İzolasyon)
B) Havalandırma
C) İklimlendirme";A - Binalarda enerji verimliliği kavramına paralel olarak geliştirilen ve ısı transferini azaltmayı amaçlayan en önemli yöntem ısı yalıtımıdır[cite: 3].
"Üretilen ürünlerin ""beşikten mezara"" tüm yaşam döngüleri boyunca malzeme değerinin korunmasını, atığın engellenmesini ve doğadakine benzer bir yeniden kullanım döngüsünü hedefleyen ekonomi modeli hangisidir?";"A) Doğrusal Ekonomi
B) Döngüsel Ekonomi
C) Tüketim Ekonomisi";B - Döngüsel ekonomi modelinde kaynak kullanımının en aza indirgenmesi, atığın engellenmesi ve yeniden kullanılarak döngüde kalması hedeflenir[cite: 1, 2].
Tüketim faaliyetleri sonucunda oluşan atığın kaynağında önlenmesini, doğal kaynak tüketiminin en aza indirilmesini ve oluşan atıkların geri dönüştürülmesini hedefleyen sosyal dayanışma programına ne denir?;"A) Sıfır Atık
B) Atık Depolama
C) Sınırsız Tüketim";A - Sıfır Atık, atığın önlenmesi, kaynağında azaltılması, yeniden kullanılması ve doğal kaynak tüketiminin sıfır olmasını hedefleyen bir atık yönetim felsefesidir[cite: 1, 2].
Günümüzde enerji ihtiyacımızın büyük bir bölümünü karşıladığımız ancak rezervleri hızla tükenen ve sera gazı emisyonlarına neden olan kömür, doğalgaz ve petrol gibi kaynakların genel adı nedir?;"A) Yenilenebilir Enerji Kaynakları
B) Yenilenemeyen Enerji Kaynakları (Fosil Yakıtlar)
C) Sürdürülebilir Yakıtlar";B - Kömür, doğalgaz ve petrol gibi kaynaklar yenilenemeyen enerji kaynakları (fosil yakıtlar) olarak adlandırılır ve kullanımları sera gazı salınımına yol açar[cite: 2, 3].
Kurumların tükettiği şebeke elektriğinden kaynaklanan ve iklim değişikliğini tetikleyen dolaylı sera gazı emisyonları, karbon ayak izi hesaplamasında hangi kapsam (Scope) altında değerlendirilir?;"A) Kapsam 1
B) Kapsam 2
C) Kapsam 3";B - Satın alınan ve tüketilen elektrikten kaynaklanan dolaylı emisyonlar karbon ayak izi hesaplamalarında 'Kapsam 2' altında değerlendirilmektedir[cite: 7].
Yediğimiz gıdaların üretimi için çok miktarda su harcanır. Örneğin, 1 kilogram sığır eti üretimi için doğrudan ve dolaylı olarak harcanan su miktarı (su ayak izi) ortalama ne kadardır?;"A) 40 litre
B) 1.700 litre
C) 15.500 litre";C - Su ayak izi hesaplamalarına göre 1 kilogram sığır eti üretimi için ortalama 15.500 litre su harcanmaktadır[cite: 1].
Çöp ayrıştırmayı oyunlaştıran ve Google Gemini yapay zekasını kullanarak kullanıcıların kameralarıyla çektikleri atıkları %100 doğrulukla sınıflandırmayı başaran uygulamanın adı nedir?;"A) EcoWise
B) GreenCampus
C) ZeroWaste AI";A - Çok modlu yapay zeka sınıflandırması kullanan EcoWise adlı uygulama, atıkları %100 başarı oranıyla tanımlayarak kafa karışıklığını gidermiştir[cite: 7, 14, 16].
Üniversite kampüslerinde ulaşım kaynaklı karbon emisyonunu (karbon ayak izini) azaltmak için en çok hangi yöntemin kullanılması teşvik edilmektedir?;"A) Tek kişilik motorlu araç kullanımı
B) Sıfır emisyonlu araçlar (ZEV) ve bisiklet/yaya ulaşımı
C) Eski tip dizel araçlar";B - Kampüs içi ulaşımlarda karbon salınımını azaltmak için yaya politikası, bisiklet yolları ve sıfır emisyonlu elektrikli araçlar (ZEV) teşvik edilmektedir[cite: 7, 15].
Karar verme süreçlerinde bireyleri çevre dostu seçimlere yönlendirmek (örneğin iki taraflı çıktı almak) için, sürdürülebilir seçeneklerin sistemde nasıl ayarlanması tavsiye edilir?;"A) Varsayılan (Default) seçenek olarak
B) Gizli bir menüde
C) Talep üzerine";A - Davranışsal ekonomi ilkelerine göre, kullanıcıları sürdürülebilir seçimlere yönlendirmek ve karar yorgunluğunu önlemek için bu seçenekler sistemde 'varsayılan' (default) olarak sunulmalıdır[cite: 7, 14, 16].
Geri dönüşümün çevreye somut katkıları çok büyüktür. Sadece 1 kilogram kağıt veya karton geri dönüştürüldüğünde ne kadar karbondioksit (CO2) salınımı engellenmiş olur?;"A) 10 gram
B) 100 gram
C) 1000 gram";C - 1 kg kağıt/karton geri dönüştürüldüğünde çevreye 1000 gram CO2 salınımı, 4 kWh enerji ve 26 litre su tasarrufu sağlanmış olur[cite: 11].
Sürdürülebilirlik odaklı alışkanlıklar kazandırmak için kullanıcıların sadece puan veya rozet (dışsal ödül) alması yerine, hangi duygulara hitap eden içsel motivasyon kaynaklarına odaklanılmalıdır?;"A) Sadece maddi kazanç hırsına
B) Kontrol hissi, özerklik ve topluluğa ait olma duygusuna
C) Tüketim isteğine";B - Oyunlaştırma stratejilerinin başarılı olması için kontrol hissi, özerklik ve aidiyet hissi yaratan içsel motivasyon kaynaklarına hitap etmesi gerektiği belirlenmiştir[cite: 7, 14, 16].
Binalarda asansör yerine aşağıdakilerden hangisini kullanmayı tercih etmek önemli ölçüde enerji tasarrufu sağlar?;"A) Yürüyen merdivenler
B) Merdivenler
C) Teleferik sistemleri";B - Kısa mesafelerde asansör yerine merdiven kullanmak gibi enerji tasarrufu sağlayan bireysel davranışlar, bina performansını artırır ve elektrik tüketimini düşürür[cite: 1, 14].
"A noktasından B noktasına gitmek için ""aktif seyahat"" olarak bilinen ve çevre için en sürdürülebilir olan ulaşım şekli hangisidir?";"A) Tek kişilik otomobil
B) Yürümek ve bisiklete binmek
C) Otobüs";B - Yürümek ve bisiklete binmek gibi aktif seyahat yöntemleri, karbon emisyonlarını azaltan en sürdürülebilir ulaşım şekilleridir[cite: 9, 12].
Alışveriş yaparken plastik poşet tüketimini ve atık miktarını azaltmak için gündelik hayatta hangi alternatif daha çok tercih edilmelidir?;"A) Kağıt havlular
B) Yeniden kullanılabilir bez çanta (tekstil)
C) Alüminyum folyolar";B - Ambalaj atıklarını azaltmak için plastik poşetler yerine yeniden kullanılabilir tekstil (bez) çantaların tercih edilmesi büyük önem taşır[cite: 4, 18].
"Üniversite kampüsleri; büyük yüzölçümleri, kalabalık nüfusları ve içlerinde barındırdıkları karmaşık faaliyetler nedeniyle genellikle neye benzetilirler?";"A) Küçük şehirler
B) Eğlence parkları
C) Tarım arazileri";"A - Üniversite kampüsleri, yoğun nüfusları ve barındırdıkları çok çeşitli günlük aktiviteler nedeniyle çevresel etkileri bakımından ""küçük şehirlere"" benzetilirler[cite: 22]."
Tabağımızda yenmeyip bırakılan yemek artıkları veya çöpe giden gıdalar genel olarak hangi tür atık sınıfına girmektedir?;"A) Kaçınılmaz organik atık
B) Önlenebilir gıda atığı
C) Tehlikeli atık";"B - Tüketilebilecek durumda olduğu halde yenilmeyip atılan gıdalar (yemek artıkları) ""önlenebilir (avoidable) gıda atığı"" olarak sınıflandırılmaktadır[cite: 4]."
Doğada kendiliğinden çözünmeyen (non-biodegradable) ve çöplüklerde yüzlerce yıl kalarak toprağa zehirli sıvı sızdıran atık türü hangisidir?;"A) Meyve kabukları
B) Plastik atıklar
C) Ağaç yaprakları";B - Plastik atıklar doğada biyolojik olarak çözünmezler ve çöplüklerde sızıntı suları oluşturarak çevreye büyük zarar verirler[cite: 4].
Kampüs bahçelerinde veya tarım alanlarında kullanmak üzere doğal gübre (kompost) elde etmek için en çok hangi tür atıklar kullanılır?;"A) Organik atıklar
B) Cam şişeler
C) Elektronik atıklar";A - Organik atıklar kompostlama yöntemiyle doğal gübreye dönüştürülerek kampüs bahçelerinde kullanılabilir ve döngüsel ekonomiye katkı sağlar[cite: 4, 25].
"Gündelik hayatta atık miktarını azaltmak için ""kullan-at"" piller yerine hangi tür pillerin kullanılması tavsiye edilir?";"A) Şarj edilebilir piller
B) Tek kullanımlık ince piller
C) Sadece ithal piller";A - Atık azaltma stratejileri kapsamında, tek kullanımlık ürünler yerine şarj edilebilir pillerin tercih edilmesi önerilmektedir[cite: 18].
Kampüslerdeki mini marketlerden alışveriş yaparken plastik tüketimini azaltmayı hedefleyen kampanyaların genel adı nedir?;"A) Tüketim Çılgınlığı
B) Plastik Poşete Hayır
C) Kağıt Tasarrufu";"B - Öğrencilerin kampüs marketlerinden alışveriş yaparken kendi çantalarını getirmelerini teşvik eden ""Plastik Poşete Hayır"" gibi kampanyalar atık azaltımını hedefler[cite: 15]."
Eski tip aydınlatma sistemleri (örneğin floresan) yerine hangi teknolojiyi kullanmak binalarda ciddi oranda enerji tasarrufu sağlar?;"A) Gaz lambası
B) LED aydınlatma
C) Halojen ampul";B - Binalarda floresan aydınlatmadan LED sistemlere geçiş yapılması, enerji tüketiminde yarı yarıya yakın büyük oranda tasarruf sağlamaktadır[cite: 10, 14].
"Kampüslerde ""sıfır emisyonlu"" ulaşımı desteklemek için motorlu araçların azaltılmasıyla birlikte en çok hangi uygulama teşvik edilmelidir?";"A) Otopark alanlarının büyütülmesi
B) Bisiklet kullanımının teşvik edilmesi
C) Dizel araçların artırılması";B - Sürdürülebilir ulaşım için kampüs içi yaya politikası, bisiklet yolları ve bisiklet kullanımının teşvik edilmesi öncelikli uygulamalardır[cite: 23].
Su ve temizlik malzemelerinden tasarruf etmek amacıyla bazı çevre dostu üniversite yemekhanelerinde hangi alışkanlıktan vazgeçilmektedir?;"A) Çatal ve kaşık kullanımı
B) Yemek tepsisi kullanımı
C) Peçete kullanımı";B - Bazı üniversiteler, su ve temizlik kimyasallarından tasarruf etmek amacıyla kafeteryalarda yemek tepsisi kullanımını tamamen kaldırmıştır[cite: 26].
Bireylerin elektrik tüketimi, ulaşım tercihleri ve beslenme alışkanlıkları gibi bilgilerini girerek doğaya verdikleri tahribatı görmelerini sağlayan dijital araçlara ne ad verilir?;"A) Kalori Hesaplayıcı
B) Karbon Ayak İzi Hesaplayıcı
C) Hız Ölçer";B - Karbon ayak izi hesaplayıcıları, bireylerin enerji ve tüketim alışkanlıklarını hesaplayarak doğaya olan etkilerini görünür kılan önemli araçlardır[cite: 30].
Araştırmalara göre üniversite kampüslerinde ulaşımdan kaynaklanan karbon ayak izine bakıldığında, genellikle en sürdürülebilir seyahat tercihlerini kimler yapmaktadır?;"A) Sadece Akademisyenler
B) Sadece İdari Personel
C) Öğrenciler";C - Kişi başına düşen ulaşım kaynaklı emisyonlara bakıldığında, öğrencilerin daha sürdürülebilir ulaşım modlarını tercih ettiği ve karbon ayak izlerinin personelden daha düşük olduğu görülmektedir[cite: 32].
"Binalarda enerji tasarrufu sağlamak veya ortamı soğutmak için ""doğal havalandırma"" amacıyla pencerelerin açılması gibi kullanıcının ortamı kendi ihtiyacına uydurduğu davranışlara ne denir?";"A) Adaptif (Uyarlanabilir) Eylemler
B) Teknolojik Eylemler
C) Otomatik Eylemler";"A - İnsanların iç mekanı kendi konfor ihtiyaçlarına veya tasarrufa göre düzenlemek için yaptıkları pencere açma, ışık kapatma gibi fiziksel müdahaleler ""adaptif eylemler"" olarak adlandırılır[cite: 14]."
Geri dönüştürülebilir malzemelerin toplanıp satılarak veya değerlendirilerek fakülteler için bir gelir kapısı oluşturulması programlarına genelde ne ad verilir?;"A) Atıktan Servete (Waste to wealth)
B) Çöp Depolama
C) Sınırsız Tüketim";"A - Üretilen atıkların değerlendirilmesi ve geri dönüştürülerek fakültelere gelir sağlanması amaçlı kampanyalar ""Atıktan Servete"" (Waste to wealth) programları olarak bilinir[cite: 15]."
Atıkların geri dönüşüm sürecinde kirlenmemesi (kontamine olmaması) için, organik atıklar ile geri dönüştürülebilir atıkların birbirine karışmasını engellemenin en etkili yolu nedir?;"A) Kaynağında ayrı toplamak
B) Hepsini aynı poşete koymak
C) Çöpleri yakmak";A - Geri dönüştürülebilir atıkların organik atıklarla karışıp kontamine olmaması için çöplerin en başta, kaynağında ayrıştırılması gerekmektedir[cite: 25].
Enerji tüketimi, su kullanımı, ulaşım, gıda ve kağıt tüketimi gibi faktörleri hesaba katarak insanların doğadan ne kadar kaynak talep ettiğini ölçen göstergeye ne ad verilir?;"A) Ekonomik Endeks
B) Ekolojik Ayak İzi
C) Yaşam Beklentisi";"B - Ekolojik ayak izi; enerji, gıda, su ve ulaşım gibi faktörleri hesaba katarak insanların doğal çevre üzerinde yarattığı baskıyı ölçen genel bir göstergedir[cite: 8]."
Uzak mesafeden gelen öğrencilerin günlük yolculuklardan kaynaklanan karbon emisyonlarını sıfırlamak veya büyük oranda düşürmek için uygulanabilecek en etkili eğitim alternatifi hangisidir?;"A) Yüz yüze akşam eğitimi
B) Çevrimiçi (Online) eğitim
C) Hafta sonu eğitimi";B - Çevrimiçi (online) eğitimin yaygınlaşması, kampüse ulaşım ihtiyacını ortadan kaldırdığı için karbon emisyonlarının düşürülmesinde çok ciddi bir potansiyele sahiptir[cite: 10].
Kampüslerdeki kafeteryalarda tek kullanımlık plastik su şişesi ve karton/plastik bardak atığını azaltmak için öğrencilerin ve personelin ne kullanması teşvik edilmektedir?;"A) Yeniden kullanılabilir matara ve termoslar
B) Sadece cam şişeler
C) Kağıt havlular";A - Plastik atık krizini azaltmak için okullarda tek kullanımlık ürünler yerine matara ve termos (tumbler) kullanımı teşvik edilerek ücretsiz su sebilleri sağlanmalıdır[cite: 4].
Mobil uygulamaları kullanırken dijital karbon ayak izimizi ve batarya tüketimimizi düşürmek için ekran tasarımında hangi özelliği kullanmamız tavsiye edilir?;"A) Sürekli video oynatma
B) Yüksek parlaklık ve hareketli animasyonlar
C) Karanlık Mod (Dark Mode)";C - Arayüzde karanlık mod (dark mode) işlevselliği kullanmak, cihazların enerji tüketimini doğrudan düşürerek çevre dostu (Green UX) standartlarını destekler[cite: 1, 12].
Kullanıcıları çevre dostu eylemlere zorlamadan, ilerleme çubukları veya dijital bitkiler gibi görsellerle bilinçaltı düzeyde (küçük itmelerle) yönlendiren yaklaşıma ne ad verilir?;"A) Dürtme Yaklaşımı (Nudge)
B) Ceza Sistemi
C) Yasaklama Yaklaşımı";A - İnsanları istendik yönde tercih yapmaya teşvik eden, baskı kurmadan ince yönlendirmeler yapan bu stratejiye Dürtme (Nudge) yaklaşımı denmektedir[cite: 1, 15].
Kampüslerdeki güneş enerjisi potansiyelini artırmak için, binaların çatıları dolduğunda güneş panelleri kurmak için en verimli alanlar nerelerdir?;"A) Sınıf camları
B) Açık otopark alanlarının üzeri
C) Futbol sahası çimleri";B - Açık otoparkların üzerinin güneş panelleriyle kapatılması, hem enerji üretilmesini sağlar hem de araçları güneşten koruyarak çift yönlü ekonomik/çevresel fayda sunar[cite: 1].
"Sürdürülebilirlik uygulamalarında insanları sadece puan veya rozetle değil; asıl olarak özerklik, yetkinlik ve aidiyet hissiyle uygulamaya bağlayan motivasyon türü hangisidir?";"A) Parasal Motivasyon
B) İçsel Motivasyon
C) Dışsal Motivasyon";B - Kontrol hissi, özerklik ve sürdürülebilirlik değerleriyle uyum sağlamak (Öz Belirleme Kuramı), kişide güçlü bir içsel motivasyon yaratarak davranışların kalıcı olmasını sağlar[cite: 1, 12].
Basit bir teknolojik hamlenin gücü: Berkeley Üniversitesi lavabolardaki muslukları otomatik (sensörlü) hale getirerek kampüs su tüketiminde yüzde kaçlık devasa bir tasarruf sağlamıştır?;"A) %5
B) %10
C) %32";C - Berkeley Üniversitesi, lavabolara yerleştirdiği otomatik rezervuarlar ve sistemler sayesinde kampüste su tüketimini %32 oranında büyük bir başarıyla azaltmıştır[cite: 1, 8].
Çevre dostu bir uygulamanın arayüzünde, öğrencilere ekolojik farkındalık kazandırmak için profil rozeti veya seviye atlama teması olarak hangisinin kullanılması daha etkilidir?;"A) Spor arabalar
B) Soyut, botanik ve doğa odaklı (ağaç, tohum vb.) temalar
C) İnsan yüzleri";B - Sürdürülebilir oyunlaştırma arayüzlerinde insan yüzü yerine ağaç, tohum gibi botanik ve doğa odaklı temaların kullanımı ekolojik farkındalığı çok daha fazla artırır[cite: 1, 12].
Araştırmalara göre, öğrencilerin hevesle indirdiği çevre dostu uygulamaları hızla telefonlarından silmelerinin (terk etmelerinin) %76 ile en büyük sebebi nedir?;"A) Reklam olmaması
B) Uygulamanın çok yer kaplaması
C) Sistem donmaları, çökmeler ve kafa karıştırıcı arayüz";C - Uygulama çökmeleri (crash), donmalar ve kafa karıştırıcı arayüzler gibi teknik sorunlar kullanıcı güvenini zedeleyerek uygulamanın %76 oranla terk edilmesine neden olmaktadır[cite: 1, 12].
Geri dönüştürülmüş malzemelerin kullanıldığı, yerel bitkiler ve hava/toprak ölçümü yapan akıllı sensörlerle donatılmış kampüs dinlenme alanlarına ne ad verilir?;"A) Smart Tree (Akıllı Ağaç) Konsepti
B) Beton Ada
C) Kara Kutu";"A - Geri dönüştürülmüş malzemeler ve IoT sensörlerinin bir araya getirildiği, döngüsel ekonomiyi yansıtan dış mekan ortak çalışma/dinlenme alanları ""Smart Tree"" konsepti olarak adlandırılmaktadır[cite: 12]."
Kampüste dolaşırken taşan bir çöp kutusu veya kirlilik gördüğümüzde, bunu harita üzerinden yetkililere bildirmek için telefonumuzun hangi özelliği kullanılır?;"A) Bluetooth Bağlantısı
B) GPS ile Coğrafi Etiketleme (Geo-tagging)
C) Sadece Kamera Flaş";B - Kullanıcılar GPS ile coğrafi etiketleme (geo-tagging) yaparak taşan çöpleri veya kirli alanları koordinatlarıyla birlikte doğrudan yetkililere bildirebilirler[cite: 12].
"Karar yorgunluğunu önleyerek insanları çevre dostu tercihlere yönlendirmek için ""iki taraflı fotokopi çekmek"" veya ""çevre dostu ürün seçmek"" gibi işlemler sistemde nasıl ayarlanmalıdır?";"A) Şifreli bir menüde
B) Sadece özel istek üzerine
C) Varsayılan (Default) seçenek olarak";C - Davranışsal ekonomi ilkelerine göre, gereksiz karar yorgunluğunu önlemek ve kullanıcıları sürdürülebilir seçimlere yönlendirmek için bu seçenekler sistemde 'varsayılan' (default) olarak ayarlanmalıdır[cite: 1, 13].
"Dünya genelinde ""en hızlı büyüyen atık türü"" olarak bilinen ve geri dönüştürülmediğinde doğaya cıva, kurşun gibi ağır metaller saçan atık türü hangisidir?";"A) Tıbbi Atık
B) Elektronik Atık (E-atık)
C) Plastik Atık";B - Dünyada en hızlı büyüyen atık akışı olan e-atıklar, içerdikleri kurşun, kadmiyum ve cıva gibi zehirli maddeler nedeniyle çevreye ve insan sağlığına büyük zarar verirler[cite: 2, 37].
"Sürdürülebilir atık yönetimi hiyerarşisinde (ISWM) en tepede yer alan ve uygulanması en çok tavsiye edilen ""birinci öncelikli"" strateji aşağıdakilerden hangisidir?";"A) Geri Dönüşüm (Recycling)
B) Enerji Geri Kazanımı
C) Atık Önleme / Azaltma (Prevention)";C - Entegre Katı Atık Yönetimi (ISWM) hiyerarşisinde piramidin en üstünde yer alan ve en önemli adım, atığın oluşmadan kaynağında önlenmesidir (prevention)[cite: 9].
